supplier_id,supplier_name,lead_time_days,reliability_score
SUP-001,Global Tech Supplies,7,0.91
SUP-002,Premier Materials Inc,24,0.91
SUP-003,Industrial Solutions Ltd,20,0.73
SUP-004,Quality Parts Co,16,0.71
SUP-005,Pacific Supply Chain,5,0.76
SUP-006,Atlantic Manufacturing,19,0.87
SUP-007,Midwest Components,20,0.76
SUP-008,Southern Industries,23,0.9
SUP-009,Northern Resources,16,0.76
SUP-010,Eastern Trading Co,21,0.78
SUP-011,Western Distribution,30,0.7
SUP-012,United Suppliers,28,0.75
SUP-013,Precision Parts Inc,16,0.8
SUP-014,Advanced Materials Corp,7,0.76
SUP-015,Reliable Sources LLC,27,0.8
SUP-016,Strategic Partners Inc,5,0.81
SUP-017,Elite Manufacturing,14,0.95
SUP-018,Procurement Experts,22,0.78
SUP-019,Integrated Supply Co,4,0.91
SUP-020,Total Solutions Ltd,20,0.74
